Taxable Year,County,Population,All Returns,AGI,Median Income,Median Rank,Joint Returns,Joint Returns Median Income,Joint Returns Median Rank,Tax Assessed,Latitude,Longitude,New Georeferenced Column
2018,Lake,65020,23901,1200985491,32486,50,8894,58138,51,35082381,39.06500481,-122.6570192,POINT (-122.6570192 39.06500481)
2018,Siskiyou,44128,18023,866019924,32089,54,7509,55958,54,27049460,41.40245364,-123.1750119,POINT (-123.1750119 41.40245364)
2018,Marin,262326,126382,25997689202,72094,1,50900,169809,1,2126697224,38.03952573,-122.7299513,POINT (-122.7299513 38.03952573)
2018,Placer,389278,182523,17472803059,56762,6,84664,109200,7,881320286,39.0316205,-120.8830665,POINT (-120.8830665 39.0316205)
2018,Sutter,101337,39782,2202274623,35528,38,16970,60452,46,73960701,39.01131111,-121.7233341,POINT (-121.7233341 39.01131111)
2018,Butte,227353,85588,5182918695,35450,39,31945,72253,32,203778219,39.59127291,-121.6728818,POINT (-121.6728818 39.59127291)
2018,Sacramento,1537386,678283,44179011186,41920,22,238983,83061,20,1765009170,38.1923781,-121.6020643,POINT (-121.6020643 38.1923781)
2018,Orange,3215372,1477556,139541571432,44522,17,558805,96007,13,8188061175,33.66073433,-117.9361373,POINT (-117.9361373 33.66073433)
2018,San Mateo,774570,392105,76789387694,66840,4,152786,151167,3,6235908323,37.43944139,-122.3344603,POINT (-122.3344603 37.43944139)
2018,Unallocated,,803,51273336,29579,,197,52919,,2986426,0,0,POINT (0 0)
2018,Mono,13827,5624,341407669,37227,32,1955,77696,23,13606350,38.34709997,-119.3327269,POINT (-119.3327269 38.34709997)
2018,Glenn,28755,12285,617500029,34683,42,5055,58680,49,20005874,39.59028676,-122.0780968,POINT (-122.0780968 39.59028676)
2018,Humboldt,135765,54164,2909751925,33410,46,18396,69065,35,99667093,40.86148517,-123.8585124,POINT (-123.8585124 40.86148517)
2018,San Diego,3344438,1503198,118521464839,43195,19,556543,89663,19,6320412237,32.78964014,-117.1936577,POINT (-117.1936577 32.78964014)
2018,Kings,153318,49375,2357833005,33409,47,18646,58720,48,64971772,36.01947119,-120.0181641,POINT (-120.0181641 36.01947119)
2018,Santa Barbara,452953,194233,15860257408,40670,24,68942,82047,21,881510604,34.42119106,-119.6988197,POINT (-119.6988197 34.42119106)
2018,Riverside,2420714,970466,56781365151,36529,36,362343,72400,31,1908686592,33.7775741,-115.4706931,POINT (-115.4706931 33.7775741)
2018,Sierra,3136,1115,64056324,40164,25,523,64078,41,2224034,39.56316056,-120.7739513,POINT (-120.7739513 39.56316056)
2018,Madera,158511,56643,2860856134,32356,52,22483,58187,50,88018654,37.09637123,-119.8904305,POINT (-119.8904305 37.09637123)
2018,Amador,38146,16325,1031896983,43159,20,7615,74280,29,37379311,38.47216216,-120.5741948,POINT (-120.5741948 38.47216216)
2018,Stanislaus,554616,223599,12962858121,37135,33,85168,68951,36,465102420,37.50148783,-121.2164803,POINT (-121.2164803 37.50148783)
2018,Del Norte,27419,9098,450228880,33785,45,3572,63116,43,12519117,41.70557047,-123.8920045,POINT (-123.8920045 41.70557047)
2018,Imperial,188948,71075,3125218054,27225,58,27486,44565,58,84118086,33.07729374,-114.7515356,POINT (-114.7515356 33.07729374)
2018,Contra Costa,1147327,504017,56590780658,55689,7,199464,116912,6,3377107084,37.98817952,-121.9371402,POINT (-121.9371402 37.98817952)
2018,Santa Clara,1955946,919180,153525718635,67012,3,364993,153096,2,11385997115,37.23423826,-121.7317226,POINT (-121.7317226 37.23423826)
2018,Monterey,444252,181503,12887545034,39184,28,62995,74309,28,593788587,36.32470669,-121.2968358,POINT (-121.2968358 36.32470669)
2018,San Francisco,886618,476921,81884509966,67265,2,128858,131216,4,6641582155,37.7577,-122.4376,POINT (-122.4376 37.7577)
2018,Ventura,855713,391203,32973598624,44622,16,152075,95285,14,1697001855,34.27709072,-119.2178496,POINT (-119.2178496 34.27709072)
2018,Napa,140573,66243,6493370481,49678,9,25874,96410,11,383146206,38.45938161,-122.3328556,POINT (-122.3328556 38.45938161)
2018,Trinity,13385,4168,195093155,31216,56,1727,53244,56,6855632,40.84092907,-122.972844,POINT (-122.972844 40.84092907)
2018,Mendocino,88875,37661,2030657991,34334,44,13564,62548,44,74332633,39.31034149,-123.6517776,POINT (-123.6517776 39.31034149)
2018,Yolo,222054,89957,6988604663,44264,18,34189,97176,9,318403040,38.68382688,-121.9127421,POINT (-121.9127421 38.68382688)
2018,San Bernardino,2178940,881293,49104644374,34892,41,301558,69069,34,1608903402,34.52258599,-115.5372574,POINT (-115.5372574 34.52258599)
2018,Sonoma,500499,236070,20032919687,48240,10,87007,96497,10,1039091751,38.49367199,-122.9302632,POINT (-122.9302632 38.49367199)
2018,Los Angeles,10269935,4516237,331342689250,37379,31,1356288,76115,25,20645822353,34.0594833,-118.242048,POINT (-118.242048 34.0594833)
2018,Resident Out-of-State,,148044,18398491281,35030,,42855,67289,,1491869757,0,0,POINT (0 0)
2018,El Dorado,189360,87825,8250430479,51008,8,41003,102347,8,424261966,38.76394197,-120.6060593,POINT (-120.6060593 38.76394197)
2018,Inyo,18522,8408,506657172,39341,27,3260,77541,24,18246051,36.63350255,-118.2559592,POINT (-118.2559592 36.63350255)
2018,Santa Cruz,275168,128314,11490106643,44750,15,46297,96362,12,625034638,37.02159755,-121.9471295,POINT (-121.9471295 37.02159755)
2018,San Joaquin,760310,309672,16746479329,38685,29,115111,75481,27,686196918,37.933703,-121.3444014,POINT (-121.3444014 37.933703)
2018,Alpine,1134,413,27576337,34602,43,155,90344,17,1231875,38.58842891,-119.7124417,POINT (-119.7124417 38.58842891)
2018,Merced,279433,102688,4751540930,32470,51,37841,56706,52,134132314,37.1324242,-120.7167521,POINT (-120.7167521 37.1324242)
2018,Nevada,98626,44863,3316127622,41533,23,19359,79293,22,154380036,39.29548859,-120.9008733,POINT (-120.9008733 39.29548859)
2018,Tulare,475781,171569,8237584622,30414,57,61557,55716,55,266473005,36.28254312,-118.2652098,POINT (-118.2652098 36.28254312)
2018,Yuba,77426,28272,1415396319,34903,40,11478,61259,45,36885966,39.27129476,-121.3793557,POINT (-121.3793557 39.27129476)
2018,Colusa,22260,9645,662643834,36818,34,3975,60084,47,33055472,39.16798125,-122.2990667,POINT (-122.2990667 39.16798125)
2018,Plumas,18702,7876,437104184,38411,30,3509,64568,40,14057003,40.00510655,-121.0077457,POINT (-121.0077457 40.00510655)
2018,Tehama,64703,21611,1111567446,32195,53,8633,56690,53,40084418,40.25506437,-122.2937715,POINT (-122.2937715 40.25506437)
2018,Mariposa,17904,6614,356266504,36600,35,2779,63411,42,11415403,37.72289349,-119.9767358,POINT (-119.9767358 37.72289349)
2018,San Benito,61437,27780,2114072012,45945,13,11245,90332,18,91827934,36.50024907,-121.0915105,POINT (-121.0915105 36.50024907)
2018,Solano,439975,199570,14207125522,47732,11,73337,93629,15,538840904,38.17681839,-122.0352986,POINT (-122.0352986 38.17681839)
2018,Lassen,30527,9804,544777716,44851,14,4305,75961,26,16925626,40.43255922,-120.6495591,POINT (-120.6495591 40.43255922)
2018,Nonresident,,808025,47721532642,16109,,395989,21771,,4919446244,0,0,POINT (0 0)
2018,Shasta,178239,76844,4472880588,36274,37,32020,67691,37,157548563,40.53502155,-122.5021643,POINT (-122.5021643 40.53502155)
2018,Modoc,9487,2901,122687945,31493,55,1306,51305,57,3648317,41.71368177,-120.943072,POINT (-120.943072 41.71368177)
2018,Calaveras,44572,19299,1248550447,42365,21,9079,73144,30,47473736,38.25462698,-120.4657376,POINT (-120.4657376 38.25462698)
2018,Kern,907055,327383,18304520126,33262,48,121211,64607,39,648995888,35.37676773,-118.8073572,POINT (-118.8073572 35.37676773)
2018,Fresno,1010837,386367,22003081162,32541,49,132293,65516,38,866634148,36.81276025,-119.6826941,POINT (-119.6826941 36.81276025)
2018,San Luis Obispo,279321,126516,9712873483,45968,12,51320,91116,16,445315352,35.27435015,-120.6124974,POINT (-120.6124974 35.27435015)
2018,Tuolumne,52843,22922,1387295550,39543,26,9853,71827,33,49299702,37.96385957,-119.8920735,POINT (-119.8920735 37.96385957)
2018,Alameda,1662730,806980,89488907459,58562,5,302393,129960,5,5153670934,37.72022591,-122.1643521,POINT (-122.1643521 37.72022591)
