District,TOTALREV,TFEDREV,C14,C15,C16,C17,C19,B11,C20,C25,C36,B10,B12,B13,TSTREV,C01,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C24,C35,C38,C39,TLOCREV,T02,T06,T09,T15,T40,T99,D11,D23,A07,A08,A09,A11,A13,A15,A20,A40,U11,U22,U30
ALAMEDA CO OFFICE OF ED,66836,2415,1082,213,0,0,0,0,946,0,0,0,0,174,22897,10183,25,718,558,0,0,0,0,0,0,11413,0,0,0,0,41524,29182,0,0,0,0,0,4881,1989,0,0,0,0,0,0,1097,150,0,935,0
ALPINE COUNTY SPECIAL SCHOOLS,1560,195,0,0,0,0,0,0,49,0,0,0,0,146,1072,903,0,0,2,0,0,0,0,0,0,167,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,35,0
AMADOR CO SPL SCHS OPER BY CO SUPT,17732,1281,3,934,5,0,0,0,316,14,0,0,0,14,8796,1350,12,2302,139,0,0,0,0,2942,0,2051,0,0,0,0,7655,1219,0,0,0,0,0,5913,0,0,0,0,0,0,0,0,0,0,40,0
BUTTE CO SPL SCHS OPER BY CO SUPT,97081,30147,20278,6760,30,0,0,0,2698,308,0,0,7,96,26748,6880,56,834,382,0,0,0,6,0,0,18590,0,0,0,0,40186,8652,0,0,0,0,0,11264,1683,0,0,0,0,0,0,526,310,0,300,0
CALAVERAS CO SPL SCHS OPER BY CO SUPT,18278,1824,228,1235,11,0,0,0,331,18,0,0,0,12,12251,5681,10,4318,217,0,0,0,1,0,0,2024,0,0,0,0,4203,1315,0,0,0,0,0,1672,0,0,0,0,0,0,0,12,0,0,102,0
COLUSA COUNTY OFFICE OF EDUCATION,13745,2139,0,1004,1,0,0,0,741,331,0,0,0,63,6695,2247,5,2209,95,0,0,0,0,0,0,2139,0,0,0,0,4911,461,0,0,0,0,0,3828,1,0,0,16,0,0,0,0,0,0,108,0
CONTRA COSTA CO SPL SCHS OPER BY CO SUPT,117749,4320,1417,392,33,0,2,0,2278,43,0,0,0,188,47749,14827,46,1113,556,0,0,0,4,0,0,31203,0,0,0,0,65680,32490,0,0,0,0,0,24989,2152,0,0,7,0,0,0,850,21,0,1205,0
CONTRA COSTA CO ROP,45560,14970,0,14970,0,0,0,0,0,0,0,0,0,0,30502,0,0,25925,0,0,0,0,0,0,0,4577,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
DEL NORTE CO SPL SCHS OPER BY CO SUPT,10231,1379,221,246,12,0,0,0,60,0,0,0,349,503,7732,6273,1,0,139,0,0,0,0,0,0,1319,0,0,0,0,1120,33,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,234,37,0
EL DORADO CO SPL SCHS OPER BY CO SUPT,226526,38013,838,29162,45,0,0,48,1663,284,0,0,236,5782,159709,9634,41,127012,349,0,0,0,16,0,0,22657,0,0,0,0,28804,7684,0,0,0,0,0,7957,26,207,0,11,0,0,0,9561,20,0,673,0
