Academic Year,Aggregate Level,County Code,District Code,School Code,County Name,District Name,School Name,Charter School,DASS,School Grade Span,Teacher Experience Level,Teacher Credential Level,Subject Area,Total FTE,Clear FTE (count),Out-of-Field FTE (count),Intern FTE (count),Ineffective FTE (count),Incomplete FTE (count),Unknown FTE (count),N/A FTE (count),Clear FTE (percent),Out-of-Field FTE (percent),Intern FTE (percent),Ineffective FTE (percent),Incomplete FTE (percent),Unknown FTE FTE (percent),N/A FTE (percent)
2020-21,S,1,10017.0,136226.0,Alameda,Alameda County Office of Education,Opportunity Academy,Yes,Yes,GR912,ALL,ALL,ARTS,0.64,0.11,0.53,0.0,0.0,0.0,0.0,0.0,17.2,82.8,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,10017.0,136226.0,Alameda,Alameda County Office of Education,Opportunity Academy,Yes,Yes,GR912,ALL,ALL,CTED,0.29,0.23,0.06,0.0,0.0,0.0,0.0,0.0,79.3,20.7,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,10017.0,136226.0,Alameda,Alameda County Office of Education,Opportunity Academy,Yes,Yes,GR912,ALL,ALL,ENLA,1.03,0.24,0.8,0.0,0.0,0.0,0.0,0.0,23.3,77.7,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,10017.0,136226.0,Alameda,Alameda County Office of Education,Opportunity Academy,Yes,Yes,GR912,ALL,ALL,HISS,1.26,0.0,1.26,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,10017.0,136226.0,Alameda,Alameda County Office of Education,Opportunity Academy,Yes,Yes,GR912,ALL,ALL,HLTH,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,10017.0,136226.0,Alameda,Alameda County Office of Education,Opportunity Academy,Yes,Yes,GR912,ALL,ALL,MATH,0.69,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,10017.0,136226.0,Alameda,Alameda County Office of Education,Opportunity Academy,Yes,Yes,GR912,ALL,ALL,PHYS,0.18,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,10017.0,136226.0,Alameda,Alameda County Office of Education,Opportunity Academy,Yes,Yes,GR912,ALL,ALL,SCIE,0.8,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,10017.0,136226.0,Alameda,Alameda County Office of Education,Opportunity Academy,Yes,Yes,GR912,ALL,ALL,TA,5.01,0.58,4.44,0.0,0.0,0.0,0.0,0.0,11.6,88.6,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,ARTS,0.6,0.5,0.1,0.0,0.0,0.0,0.0,0.0,83.3,16.7,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,CPTE,0.91,0.67,0.0,0.0,0.0,0.24,0.0,0.0,73.6,0.0,0.0,0.0,26.4,0.0,0.0
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,CTED,3.22,3.22,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,DNCE,0.43,0.43,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,DRMT,1.93,1.93,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,ENLA,7.84,6.81,0.05,0.0,0.99,0.0,0.0,0.0,86.9,0.6,0.0,12.6,0.0,0.0,0.0
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,FRLG,5.08,5.08,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,GADM,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,HISS,6.94,6.68,0.26,0.0,0.0,0.0,0.0,0.0,96.3,3.7,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,MATH,8.27,7.66,0.11,0.0,0.0,0.5,0.0,0.0,92.6,1.3,0.0,0.0,6.0,0.0,0.0
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,MUSC,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,OTHR,32.26,24.16,2.0,1.97,1.82,2.22,0.0,0.1,74.9,6.2,6.1,5.6,6.9,0.0,0.3
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,PHYS,2.84,2.35,0.5,0.0,0.0,0.0,0.0,0.0,82.7,17.6,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,SCCL,0.97,0.3,0.0,0.0,0.0,0.67,0.0,0.0,30.9,0.0,0.0,0.0,69.1,0.0,0.0
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,SCIE,5.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130229.0,Alameda,Alameda Unified,Alameda High,No ,No ,GR912,ALL,ALL,TA,77.41,65.91,3.02,1.97,2.81,3.63,0.0,0.1,85.1,3.9,2.5,3.6,4.7,0.0,0.1
2020-21,S,1,61119.0,106401.0,Alameda,Alameda Unified,Alameda Science and Technology Institute,No ,No ,GR912,ALL,ALL,ENLA,0.78,0.78,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,106401.0,Alameda,Alameda Unified,Alameda Science and Technology Institute,No ,No ,GR912,ALL,ALL,FRLG,0.67,0.67,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,106401.0,Alameda,Alameda Unified,Alameda Science and Technology Institute,No ,No ,GR912,ALL,ALL,HISS,0.33,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2020-21,S,1,61119.0,106401.0,Alameda,Alameda Unified,Alameda Science and Technology Institute,No ,No ,GR912,ALL,ALL,MATH,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,106401.0,Alameda,Alameda Unified,Alameda Science and Technology Institute,No ,No ,GR912,ALL,ALL,OTHR,2.36,2.03,0.0,0.0,0.33,0.0,0.0,0.0,86.0,0.0,0.0,14.0,0.0,0.0,0.0
2020-21,S,1,61119.0,106401.0,Alameda,Alameda Unified,Alameda Science and Technology Institute,No ,No ,GR912,ALL,ALL,PHYS,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,106401.0,Alameda,Alameda Unified,Alameda Science and Technology Institute,No ,No ,GR912,ALL,ALL,SCIE,0.55,0.3,0.25,0.0,0.0,0.0,0.0,0.0,54.5,45.5,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,106401.0,Alameda,Alameda Unified,Alameda Science and Technology Institute,No ,No ,GR912,ALL,ALL,TA,5.79,4.88,0.25,0.0,0.66,0.0,0.0,0.0,84.3,4.3,0.0,11.4,0.0,0.0,0.0
2020-21,S,1,61119.0,130625.0,Alameda,Alameda Unified,Alternatives in Action,Yes,Yes,GR912,ALL,ALL,ARTS,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130625.0,Alameda,Alameda Unified,Alternatives in Action,Yes,Yes,GR912,ALL,ALL,CTED,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130625.0,Alameda,Alameda Unified,Alternatives in Action,Yes,Yes,GR912,ALL,ALL,ENLA,1.9,1.7,0.0,0.0,0.2,0.0,0.0,0.0,89.5,0.0,0.0,10.5,0.0,0.0,0.0
2020-21,S,1,61119.0,130625.0,Alameda,Alameda Unified,Alternatives in Action,Yes,Yes,GR912,ALL,ALL,FRLG,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130625.0,Alameda,Alameda Unified,Alternatives in Action,Yes,Yes,GR912,ALL,ALL,HISS,1.73,0.6,0.0,0.0,1.13,0.0,0.0,0.0,34.7,0.0,0.0,65.3,0.0,0.0,0.0
2020-21,S,1,61119.0,130625.0,Alameda,Alameda Unified,Alternatives in Action,Yes,Yes,GR912,ALL,ALL,MATH,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130625.0,Alameda,Alameda Unified,Alternatives in Action,Yes,Yes,GR912,ALL,ALL,OTHR,0.57,0.57,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130625.0,Alameda,Alameda Unified,Alternatives in Action,Yes,Yes,GR912,ALL,ALL,SCIE,0.5,0.19,0.0,0.0,0.31,0.0,0.0,0.0,38.0,0.0,0.0,62.0,0.0,0.0,0.0
2020-21,S,1,61119.0,130625.0,Alameda,Alameda Unified,Alternatives in Action,Yes,Yes,GR912,ALL,ALL,TA,8.1,3.66,0.0,0.0,4.44,0.0,0.0,0.0,45.2,0.0,0.0,54.8,0.0,0.0,0.0
2020-21,S,1,61119.0,134304.0,Alameda,Alameda Unified,Island High (Continuation),No ,Yes,GR912,ALL,ALL,ARTS,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,134304.0,Alameda,Alameda Unified,Island High (Continuation),No ,Yes,GR912,ALL,ALL,CTED,0.75,0.5,0.0,0.0,0.25,0.0,0.0,0.0,66.7,0.0,0.0,33.3,0.0,0.0,0.0
2020-21,S,1,61119.0,134304.0,Alameda,Alameda Unified,Island High (Continuation),No ,Yes,GR912,ALL,ALL,ENLA,1.13,0.47,0.67,0.0,0.0,0.0,0.0,0.0,41.6,59.3,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,134304.0,Alameda,Alameda Unified,Island High (Continuation),No ,Yes,GR912,ALL,ALL,HISS,0.86,0.86,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,134304.0,Alameda,Alameda Unified,Island High (Continuation),No ,Yes,GR912,ALL,ALL,MATH,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,134304.0,Alameda,Alameda Unified,Island High (Continuation),No ,Yes,GR912,ALL,ALL,OTHR,2.49,2.24,0.0,0.0,0.25,0.0,0.0,0.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0
2020-21,S,1,61119.0,134304.0,Alameda,Alameda Unified,Island High (Continuation),No ,Yes,GR912,ALL,ALL,SCIE,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61119.0,134304.0,Alameda,Alameda Unified,Island High (Continuation),No ,Yes,GR912,ALL,ALL,TA,6.88,5.72,0.67,0.0,0.5,0.0,0.0,0.0,83.1,9.7,0.0,7.3,0.0,0.0,0.0
2020-21,S,1,61127.0,130450.0,Alameda,Albany City Unified,Albany High,No ,No ,GR912,ALL,ALL,ARTS,1.74,1.63,0.0,0.0,0.11,0.0,0.0,0.0,93.7,0.0,0.0,6.3,0.0,0.0,0.0
2020-21,S,1,61127.0,130450.0,Alameda,Albany City Unified,Albany High,No ,No ,GR912,ALL,ALL,CTED,4.31,1.3,0.0,0.0,1.33,1.68,0.0,0.0,30.2,0.0,0.0,30.9,39.0,0.0,0.0
2020-21,S,1,61127.0,130450.0,Alameda,Albany City Unified,Albany High,No ,No ,GR912,ALL,ALL,DNCE,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61127.0,130450.0,Alameda,Albany City Unified,Albany High,No ,No ,GR912,ALL,ALL,ENLA,9.91,7.61,0.6,1.0,0.0,0.7,0.0,0.0,76.8,6.1,10.1,0.0,7.1,0.0,0.0
2020-21,S,1,61127.0,130450.0,Alameda,Albany City Unified,Albany High,No ,No ,GR912,ALL,ALL,FRLG,5.39,4.79,0.0,0.0,0.6,0.0,0.0,0.0,88.9,0.0,0.0,11.1,0.0,0.0,0.0
2020-21,S,1,61127.0,130450.0,Alameda,Albany City Unified,Albany High,No ,No ,GR912,ALL,ALL,HISS,7.99,7.79,0.0,0.0,0.0,0.2,0.0,0.0,97.5,0.0,0.0,0.0,2.5,0.0,0.0
2020-21,S,1,61127.0,130450.0,Alameda,Albany City Unified,Albany High,No ,No ,GR912,ALL,ALL,HLTH,1.94,1.94,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61127.0,130450.0,Alameda,Albany City Unified,Albany High,No ,No ,GR912,ALL,ALL,MATH,8.22,7.77,0.0,0.0,0.0,0.45,0.0,0.0,94.5,0.0,0.0,0.0,5.5,0.0,0.0
2020-21,S,1,61127.0,130450.0,Alameda,Albany City Unified,Albany High,No ,No ,GR912,ALL,ALL,MUSC,1.58,0.8,0.0,0.0,0.78,0.0,0.0,0.0,50.6,0.0,0.0,49.4,0.0,0.0,0.0
2020-21,S,1,61127.0,130450.0,Alameda,Albany City Unified,Albany High,No ,No ,GR912,ALL,ALL,OTHR,5.56,5.35,0.0,0.0,0.2,0.0,0.0,0.0,96.2,0.0,0.0,3.6,0.0,0.0,0.0
2020-21,S,1,61127.0,130450.0,Alameda,Albany City Unified,Albany High,No ,No ,GR912,ALL,ALL,PHYS,3.7,3.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61127.0,130450.0,Alameda,Albany City Unified,Albany High,No ,No ,GR912,ALL,ALL,SCIE,7.57,5.57,1.55,0.0,0.0,0.45,0.0,0.0,73.6,20.5,0.0,0.0,5.9,0.0,0.0
2020-21,S,1,61127.0,130450.0,Alameda,Albany City Unified,Albany High,No ,No ,GR912,ALL,ALL,TA,58.51,48.85,2.15,1.0,3.02,3.48,0.0,0.0,83.5,3.7,1.7,5.2,5.9,0.0,0.0
2020-21,S,1,61127.0,130294.0,Alameda,Albany City Unified,MacGregor High (Continuation),No ,Yes,GR912,ALL,ALL,ARTS,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61127.0,130294.0,Alameda,Albany City Unified,MacGregor High (Continuation),No ,Yes,GR912,ALL,ALL,ENLA,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61127.0,130294.0,Alameda,Albany City Unified,MacGregor High (Continuation),No ,Yes,GR912,ALL,ALL,HISS,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61127.0,130294.0,Alameda,Albany City Unified,MacGregor High (Continuation),No ,Yes,GR912,ALL,ALL,MATH,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61127.0,130294.0,Alameda,Albany City Unified,MacGregor High (Continuation),No ,Yes,GR912,ALL,ALL,SCIE,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61127.0,130294.0,Alameda,Albany City Unified,MacGregor High (Continuation),No ,Yes,GR912,ALL,ALL,TA,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61143.0,131177.0,Alameda,Berkeley Unified,Berkeley High,No ,No ,GR912,ALL,ALL,ARTS,5.43,4.85,0.0,0.0,0.58,0.0,0.0,0.0,89.3,0.0,0.0,10.7,0.0,0.0,0.0
2020-21,S,1,61143.0,131177.0,Alameda,Berkeley Unified,Berkeley High,No ,No ,GR912,ALL,ALL,BUSN,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2020-21,S,1,61143.0,131177.0,Alameda,Berkeley Unified,Berkeley High,No ,No ,GR912,ALL,ALL,CTED,15.34,5.4,0.37,0.0,9.57,0.0,0.0,0.0,35.2,2.4,0.0,62.4,0.0,0.0,0.0
2020-21,S,1,61143.0,131177.0,Alameda,Berkeley Unified,Berkeley High,No ,No ,GR912,ALL,ALL,DNCE,1.1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61143.0,131177.0,Alameda,Berkeley Unified,Berkeley High,No ,No ,GR912,ALL,ALL,DRMT,0.53,0.53,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61143.0,131177.0,Alameda,Berkeley Unified,Berkeley High,No ,No ,GR912,ALL,ALL,ENLA,30.81,26.2,0.0,0.0,4.6,0.0,0.0,0.0,85.0,0.0,0.0,14.9,0.0,0.0,0.0
2020-21,S,1,61143.0,131177.0,Alameda,Berkeley Unified,Berkeley High,No ,No ,GR912,ALL,ALL,FRLG,16.01,5.85,1.0,0.0,7.11,0.0,0.0,2.06,36.5,6.2,0.0,44.4,0.0,0.0,12.9
2020-21,S,1,61143.0,131177.0,Alameda,Berkeley Unified,Berkeley High,No ,No ,GR912,ALL,ALL,HISS,28.06,22.27,0.47,0.0,5.32,0.0,0.0,0.0,79.4,1.7,0.0,19.0,0.0,0.0,0.0
2020-21,S,1,61143.0,131177.0,Alameda,Berkeley Unified,Berkeley High,No ,No ,GR912,ALL,ALL,MATH,29.63,26.3,0.0,0.0,3.33,0.0,0.0,0.0,88.8,0.0,0.0,11.2,0.0,0.0,0.0
2020-21,S,1,61143.0,131177.0,Alameda,Berkeley Unified,Berkeley High,No ,No ,GR912,ALL,ALL,MUSC,2.67,2.59,0.0,0.0,0.08,0.0,0.0,0.0,97.0,0.0,0.0,3.0,0.0,0.0,0.0
2020-21,S,1,61143.0,131177.0,Alameda,Berkeley Unified,Berkeley High,No ,No ,GR912,ALL,ALL,OTHR,15.44,7.76,0.0,0.0,7.68,0.0,0.0,0.0,50.3,0.0,0.0,49.7,0.0,0.0,0.0
2020-21,S,1,61143.0,131177.0,Alameda,Berkeley Unified,Berkeley High,No ,No ,GR912,ALL,ALL,PHYS,4.35,2.4,0.24,0.0,1.71,0.0,0.0,0.0,55.2,5.5,0.0,39.3,0.0,0.0,0.0
2020-21,S,1,61143.0,131177.0,Alameda,Berkeley Unified,Berkeley High,No ,No ,GR912,ALL,ALL,SCIE,21.15,16.39,0.0,0.0,4.75,0.0,0.0,0.0,77.5,0.0,0.0,22.5,0.0,0.0,0.0
2020-21,S,1,61143.0,131177.0,Alameda,Berkeley Unified,Berkeley High,No ,No ,GR912,ALL,ALL,TA,170.62,121.64,2.08,0.0,44.83,0.0,0.0,2.06,71.3,1.2,0.0,26.3,0.0,0.0,1.2
2020-21,S,1,61143.0,134924.0,Alameda,Berkeley Unified,Berkeley Technology Academy,No ,Yes,GR912,ALL,ALL,CTED,1.2,0.1,0.0,0.0,1.1,0.0,0.0,0.0,8.3,0.0,0.0,91.7,0.0,0.0,0.0
2020-21,S,1,61143.0,134924.0,Alameda,Berkeley Unified,Berkeley Technology Academy,No ,Yes,GR912,ALL,ALL,ENLA,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-21,S,1,61143.0,134924.0,Alameda,Berkeley Unified,Berkeley Technology Academy,No ,Yes,GR912,ALL,ALL,HISS,1.07,0.67,0.4,0.0,0.0,0.0,0.0,0.0,62.6,37.4,0.0,0.0,0.0,0.0,0.0
