,Dcode,avg_dropout_rate,total_fund,CO Code,District,EDP 365,Current Expense ADA,Current Expense Per ADA,LEA Type
0,61119,8.89222972972973,752395393.93,1,Alameda Unified,"117,225,882.50","8,968.85","13,070.34",Unified
1,61127,2.297727272727273,482140423.13,1,Albany City Unified,"46,611,059.59","3,544.52","13,150.18",Unified
2,61143,12.977777777777778,1264752606.39,1,Berkeley Unified,"159,457,818.49","9,356.44","17,042.57",Unified
3,61150,5.779268292682927,802268053.81,1,Castro Valley Unified,"102,239,937.34","8,940.20","11,435.98",Unified
4,61168,0.0,81321663.71,1,Emery Unified,"12,504,023.21",681.82,"18,339.19",Unified
5,61176,13.08025641025641,2566323920.15,1,Fremont Unified,"382,169,476.39","33,966.73","11,251.29",Unified
6,61192,9.873190348525469,2229224658.94,1,Hayward Unified,"266,964,086.73","18,755.20","14,234.14",Unified
7,61200,3.9031531531531534,718228044.3,1,Livermore Valley Joint Unified,"158,623,654.06","13,142.04","12,069.94",Unified
8,61234,12.405063291139241,411470416.15,1,Newark Unified,"66,780,274.76","5,552.86","12,026.28",Unified
9,61242,6.3076923076923075,750790547.22,1,New Haven Unified,"124,186,922.85","10,017.51","12,396.99",Unified
10,61259,13.784824120603014,2814002968.27,1,Oakland Unified,"538,133,451.77","32,801.87","16,405.57",Unified
11,61275,0.0,246398405.95000002,1,Piedmont City Unified,"42,452,180.51","2,521.94","16,833.14",Unified
12,61291,17.057894736842105,739122357.89,1,San Leandro Unified,"106,671,109.38","8,472.52","12,590.25",Unified
13,61309,11.170609318996416,745675605.31,1,San Lorenzo Unified,"129,723,029.06","9,643.82","13,451.42",Unified
14,61408,3.233333333333334,43093050.5,4,Biggs Unified,"6,898,491.99",580.23,"11,889.24",Unified
15,61424,17.925252525252525,956575403.3,4,Chico Unified,"145,844,464.85","11,783.23","12,377.29",Unified
16,61432,0.0,62634193.82,4,Durham Unified,"11,132,391.88",997.79,"11,157.05",Unified
17,61440,6.7,1431487.34,4,Feather Falls Union Elementary,"372,480.94",8.58,"43,412.70",Elementary
18,61515,13.795918367346939,125050119.04,4,Oroville Union High,"27,856,421.22","1,981.00","14,061.80",High
19,61531,16.171584699453554,164521291.0,4,Paradise Unified,"39,503,177.92","3,152.85","12,529.36",Unified
20,61556,4.9,46886640.8,5,Bret Harte Union High,"10,985,988.83",598.04,"18,369.99",High
21,61564,3.2714285714285714,108722846.93,5,Calaveras Unified,"31,919,226.42","2,644.37","12,070.64",Unified
22,61598,8.64,51816951.69,6,Colusa Unified,"15,853,987.43","1,422.61","11,144.30",Unified
23,61606,6.883333333333333,16313920.88,6,Maxwell Unified,"4,254,259.99",326.88,"13,014.75",Unified
24,61614,2.478125,113868758.5,6,Pierce Joint Unified,"15,109,109.81","1,415.63","10,673.06",Unified
25,61622,0.0,95889042.49,6,Williams Unified,"15,600,533.12","1,227.27","12,711.57",Unified
26,61630,3.7833333333333337,421650253.25,7,Acalanes Union High,"80,123,902.30","5,426.46","14,765.41",High
27,61648,14.085975609756098,705052433.11,7,Antioch Unified,"205,569,457.13","15,156.59","13,563.04",Unified
28,61663,14.7875,59544151.32,7,Byron Union Elementary,"17,425,135.55","1,418.25","12,286.36",Elementary
29,61697,5.367857142857143,293740008.76,7,John Swett Unified,"16,944,620.73","1,335.12","12,691.46",Unified
30,61721,4.751351351351351,606888006.21,7,Liberty Union High,"90,972,618.34","7,762.41","11,719.64",High
31,61739,11.457894736842107,486754191.78,7,Martinez Unified,"45,252,516.04","3,935.66","11,498.08",Unified
32,61754,10.828215767634854,1884287705.47,7,Mt. Diablo Unified,"378,275,568.53","29,298.72","12,910.99",Unified
33,61788,9.871604938271606,680491465.47,7,Pittsburg Unified,"140,830,835.49","10,723.85","13,132.49",Unified
34,61796,8.942830188679245,2564825715.77,7,West Contra Costa Unified,"356,728,761.91","26,406.71","13,509.02",Unified
35,61804,1.3808823529411764,2083911784.43,7,San Ramon Valley Unified,"339,618,872.50","31,055.22","10,935.97",Unified
36,61820,8.473214285714286,176007453.48,8,Del Norte County Unified,"44,698,597.30","3,392.97","13,173.89",Unified
37,61838,0.0,223665963.56,9,Buckeye Union Elementary,"49,356,482.11","4,544.81","10,859.97",Elementary
38,61853,1.8408088235294118,261703922.38,9,El Dorado Union High,"77,743,140.76","6,299.68","12,340.81",High
39,61903,8.036923076923076,158420468.03,9,Lake Tahoe Unified,"48,032,847.67","3,590.02","13,379.55",Unified
40,62117,6.909511568123394,2388214400.44,10,Clovis Unified,"445,849,473.76","41,008.48","10,872.13",Unified
41,62125,27.241999999999997,306518919.24,10,Coalinga-Huron Unified,"54,650,684.31","4,015.70","13,609.25",Unified
42,62158,1.465625,201766188.43,10,Fowler Unified,"31,435,016.84","2,482.44","12,662.95",Unified
43,62166,14.95699745547074,5267775768.89,10,Fresno Unified,"910,693,019.62","66,761.96","13,640.90",Unified
44,62257,1.4363636363636363,81757181.52,10,Kingsburg Joint Union High,"13,772,119.34","1,099.16","12,529.68",High
45,62265,4.282110091743119,547375394.32,10,Kings Canyon Joint Unified,"117,294,184.14","9,081.53","12,915.69",Unified
46,62281,2.9166666666666665,81361756.2,10,Laton Joint Unified,"9,666,240.15",631.78,"15,300.01",Unified
47,62331,62.790909090909096,24500011.1,10,Orange Center Elementary,"4,199,403.12",303.48,"13,837.50",Elementary
48,62364,5.602,158913871.42,10,Parlier Unified,"43,396,409.98","3,315.64","13,088.40",Unified
49,62380,47.0195652173913,37718226.18,10,Raisin City Elementary,"4,139,851.37",278.68,"14,855.22",Elementary
50,62414,4.377837837837838,815501979.02,10,Sanger Unified,"126,812,104.77","10,417.61","12,172.86",Unified
51,62430,5.962857142857143,308443592.78,10,Selma Unified,"83,968,563.15","6,099.85","13,765.68",Unified
52,62539,26.45,50828118.44,10,West Park Elementary,"4,563,915.65",348.98,"13,077.87",Elementary
53,62547,17.1859375,55872883.339999996,10,Westside Elementary,"3,248,988.75",177.86,"18,267.11",Elementary
54,62646,0.0,11046823.08,11,Princeton Joint Unified,"2,211,203.36",135.86,"16,275.60",Unified
55,62661,7.503125,76215014.44,11,Willows Unified,"13,541,257.01","1,380.38","9,809.80",Unified
56,62687,4.167961165048544,141871865.84,12,Northern Humboldt Union High,"20,452,052.57","1,406.31","14,543.06",High
57,62810,11.113888888888889,73468701.14,12,Fortuna Union High,"13,456,258.65","1,011.23","13,306.82",High
58,62901,13.591891891891892,95317963.54,12,Klamath-Trinity Joint Unified,"19,542,112.24",894.77,"21,840.37",Unified
59,63032,2.5714285714285716,68277426.52,12,South Bay Union Elementary,"4,949,807.42",390.78,"12,666.48",Elementary
